Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days/week,Experience_Level,BMI,Daily_meals_frequency,Physical_exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name_of_Exercise,Sets,Reps,Benefit,Burns_Calories_per_30_min,Target_Muscle_Group,Equipment_Needed,Difficulty_Level,Body_Part,Type_of_Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns_Calories_per_30_min_bc,Burns_Calories_Bin
27.59,Female,86.65,1.76,197.18,121.27,60.07,1.21,1160.63,32.37718066224315,3.49,3.02,1.99,27.97,3.0,2.02,276.43,109.4,73.46,2403.0,Other,Dinner,Low-Carb,10.22,647.8,50.9,401.23,Baked,10.81,93.57,2.82,Plyometric Push-ups,3.99,21.93,Builds unilateral leg strength,343.48,Full Body,Step or Box,Advanced,Chest,Triceps,Hammer curl,27.97326962809917,2204.46,0.50158315415113,1.2625504904789382,0.4463569396834657,0.6150218074855461,1242.37,58.59517295616631,831.2216,7.417694526913316e+19,Medium
20.31,Female,76.43,1.62,168.27,132.17,50.8,1.36,1305.6,29.395578278704896,2.61,3.99,2.0,29.12,2.01,0.99,200.77,80.5,53.3,2094.0,Other,Snack,Low-Carb,33.32,1035.88,222.9,462.67,Steamed,22.48,45.58,4.41,Rows,4.0,23.0,Improves lower back strength,331.98,"Biceps, Forearms",Parallel Bars or Chair,Advanced,Chest,Middle,Bent-over lateral raises,29.122847126962352,1604.78,0.5004299654781341,1.053251341096428,0.6926874946794925,0.7854638378795982,788.4000000000001,53.96295952158586,902.9856,5.616626080357273e+19,Low
35.68,Female,47.75,1.68,193.81,143.69,56.07,1.22,1075.55,20.16362568976236,1.61,3.01,1.02,16.92,1.99,1.01,274.46,109.65,73.24,1268.0,Other,Snack,Vegetarian,44.33,103.67,99.1,139.59,Boiled,56.73,23.68,2.01,Calf Raises,4.98,22.15,Targets obliques and improves core rotation,332.34,"Glutes, Hamstrings, Core",Step or Box,Beginner,Abs,Upper,Plank,16.918225623582767,2195.6,0.5000182182546912,2.296335078534032,0.6361260345578627,0.741396212785718,192.45000000000005,38.12186873313848,810.9096,5.66656300998462e+19,Low
22.09,Female,70.57,1.77,196.97,158.01,56.07,1.5,1317.6,24.417063017665548,1.8,3.0,1.0,22.53,1.98,-0.01,244.54,96.75,65.33,2138.0,Other,Breakfast,Vegan,7.04,808.16,245.44,203.32,Steamed,10.93,45.01,1.21,Push Ups,4.0,18.92,Improves posture and back strength,342.32,"Obliques, Core",Dumbbells or Barbell,Beginner,Abs,Middle,Incline cable crossovers,22.525455648121543,1953.13,0.500816637909407,1.3709791696188185,0.7234918381831086,0.8022033812255673,820.4000000000001,53.33887862843341,1026.96,7.215540655202677e+19,Medium
42.19,Female,45.09,1.6,165.88,163.22,64.05,1.32,1268.26,23.57879259529199,2.61,2.99,2.01,17.61,2.99,-0.01,267.23,106.12,70.8,1300.0,Other,Lunch,Paleo,14.85,152.53,263.8,343.34,Fried,13.85,32.08,2.01,Bulgarian Split Squats,3.02,12.02,Isolates and strengthens triceps,178.93,"Triceps, Chest",Dumbbells,Intermediate,Shoulders,Quads,Standing calf raises,17.613281249999996,2130.6,0.5016990519102601,2.353515191838545,0.9738780320141412,0.9839643115505184,31.74000000000001,34.45832241878285,472.37520000000006,3.628435719648766e+17,Low
28.6,Female,87.41,1.86,176.86,123.28,71.98,1.52,1579.58,27.503049695718595,3.5,4.03,2.99,25.27,3.01,0.0,169.2,66.38,44.85,2358.0,Other,Lunch,Vegetarian,25.94,1694.41,100.43,454.45,Boiled,48.73,28.77,4.88,Superman,4.02,16.05,Builds shoulder width,363.34,"Back, Core, Shoulders",Barbell,Beginner,Back,Posterior,Incline dumbbell flyes,25.26592669672794,1345.97,0.5028343870962948,0.7594096785264843,0.4891304347826086,0.6970485129480944,778.4200000000001,63.36958426097237,1104.5536,1.174026157969408e+20,Very High
30.87,Female,48.74,1.51,194.68,130.93,60.18,1.47,1292.42,25.24861104494097,1.99,2.01,1.0,21.38,3.01,0.0,228.96,92.4,61.34,1307.0,Other,Breakfast,Low-Carb,41.28,1970.89,268.33,193.34,Steamed,21.68,73.75,3.68,Jumping Jacks,3.0,12.03,Improves cardiovascular fitness,165.32,"Lower Chest, Triceps",None or Dumbbells,Intermediate,Forearms,Lower Chest,Barbell squats,21.37625542739353,1837.5,0.4984163265306122,1.8957734919983589,0.5260223048327137,0.6725395520854736,14.579999999999927,36.43382697669578,486.0408,1.905017203571674e+17,Low
25.9,Female,74.05,1.66,177.01,124.8,71.78,0.91,799.34,26.782571691431738,2.19,2.02,1.0,26.87,2.99,-0.01,206.93,82.15,54.78,2033.0,Other,Dinner,Balanced,8.68,1014.69,299.17,347.89,Grilled,56.91,61.57,1.17,Lunges,4.0,14.96,Improves unilateral leg strength and balance,334.7,"Core, Lower Back",Pull-up Bar,Advanced,Legs,Lats,Romanian deadlifts,26.872550442734795,1649.34,0.5018492245383002,1.1093855503038488,0.5038487123443884,0.7050449127167957,1233.66,54.2175056624948,609.154,6.003690583669543e+19,Low
19.98,Female,55.0,1.6,171.99,168.31,66.77,1.12,1073.41,26.646534667443163,3.21,4.02,1.98,21.48,3.0,1.99,320.73,129.97,86.21,1656.0,Other,Breakfast,Paleo,18.87,1849.34,246.9,200.74,Baked,46.95,18.91,1.52,Tricep Dips,4.98,24.99,Strengthens core and improves mobility,363.38,"Glutes, Hamstrings",Bench or Sturdy Surface,Intermediate,Back,Middle,Bent-over lateral raises,21.484375,2578.69,0.4975084248203545,2.363090909090909,0.9650256605208136,0.9786034071748356,582.5899999999999,40.34440593290626,813.9712000000001,1.1750824292637952e+20,Very High
29.49,Female,87.73,1.93,185.73,142.89,65.78,1.87,1943.3,26.96373033660896,3.51,5.0,2.99,23.55,2.98,3.01,387.22,153.77,102.95,2645.0,Other,Lunch,Paleo,0.68,1772.4,162.66,254.94,Grilled,27.0,98.47,3.61,Renegade Rows,4.01,21.99,Strengthens lower abs,373.47,"Shoulders, Upper Back",Wall,Beginner,Shoulders,Wrist Extensors,Bent-over rows,23.552310129130984,3090.51,0.5011729455656186,1.7527641627721418,0.6428511879949979,0.7693425940881925,701.7,64.07471937569296,1396.7778,1.4697455688627374e+20,Very High
56.9,Female,80.95,1.86,161.8,144.97,69.94,1.81,1880.95,26.71281667791624,3.49,4.97,2.99,23.4,3.0,-0.02,227.24,90.97,61.08,2227.0,Other,Dinner,Low-Carb,48.97,2192.07,117.43,306.15,Steamed,40.15,109.06,3.9,Bicep Curls,5.0,20.96,Strengthens triceps and chest,346.73,"Lower Abs, Hip Flexors",Cable Machine or Resistance Band,Beginner,Back,Posterior,Hammer curls,23.398658804486065,1822.56,0.4987270652269335,1.1237801111797403,0.8167864141084258,0.895982694684796,346.04999999999995,59.325974899226814,1255.1626,8.01079906739285e+19,Medium
21.92,Female,57.29,1.72,173.08,127.46,62.9,1.0,960.0,19.48440390526357,1.61,2.98,2.0,19.37,3.99,-0.02,165.41,65.52,44.05,1663.0,Other,Lunch,Paleo,8.3,1112.63,97.53,122.59,Fried,57.34,78.83,1.2,Renegade Rows,4.01,23.06,Builds explosive power,333.52,Calves,Low Bar or TRX,Beginner,Arms,Lateral,Romanian deadlifts,19.365197404002163,1320.17,0.5011778786065431,1.1436550881480188,0.5859502632056635,0.736422463600647,703.0,46.1273850026745,667.04,5.832988839259502e+19,Low
20.03,Female,63.44,1.78,188.11,137.31,61.06,1.7,1766.64,18.11568096013336,2.7,3.99,2.99,20.02,2.0,2.01,269.88,107.75,71.92,1791.0,Other,Lunch,Vegan,12.9,1206.84,221.78,467.98,Raw,6.08,45.55,3.9,Jumping Jacks,4.98,17.87,Strengthens triceps and chest,363.88,"Chest, Triceps",Dumbbells,Beginner,Forearms,Middle,Barbell squats,20.022724403484407,2157.8,0.5002873296876448,1.698455233291299,0.6001574183392364,0.7299452448035724,24.3599999999999,51.94741199889139,1237.192,1.1883563918486734e+20,Very High
53.88,Female,69.62,1.52,180.05,138.62,64.86,0.76,666.98,34.46061060689429,2.09,2.02,1.0,30.13,3.01,2.97,406.53,162.06,108.07,1773.0,Other,Breakfast,Balanced,41.91,119.79,118.55,411.4,Fried,4.96,105.96,4.11,Plyo Squats,5.0,20.94,Builds shoulder width,345.02,"Biceps, Forearms",Dumbbells or Barbell,Beginner,Shoulders,Lower Chest,Fat grip dumbbell curl,30.13331024930748,3246.99,0.5008084410484788,2.3277793737431773,0.6403333622710304,0.7698972507636768,1106.02,45.6285228954802,524.4304,7.693744932208586e+19,Medium
46.04,Female,58.37,1.53,196.35,140.27,61.87,1.83,1903.2,25.062672896754584,2.7,4.0,3.0,24.93,1.99,-0.01,197.74,77.58,52.02,1699.0,Other,Snack,Low-Carb,18.62,1854.25,290.86,184.79,Baked,59.24,54.11,3.77,Superman,4.01,16.08,Improves lower back strength,333.87,"Glutes, Hamstrings",Step or Box,Beginner,Forearms,Lower Chest,Russian twists,24.934854115938315,1569.46,0.5039695181782269,1.329107418194278,0.5829863176680549,0.7143875732111027,-204.20000000000005,43.74091783016434,1221.9642,5.8831704488239415e+19,Low
46.71,Female,49.81,1.69,177.6,146.82,64.16,1.48,1419.62,21.467977679349115,1.68,2.99,1.99,17.44,2.02,-0.02,247.95,100.29,66.38,1489.0,Other,Breakfast,Keto,15.3,424.32,196.4,369.66,Boiled,45.97,55.3,2.66,Lat Pulldowns,4.99,24.25,Builds upper body strength,359.13,Shoulders,Dumbbells or Barbell,Beginner,Back,Lower,Military press,17.43986555092609,1990.38,0.4982968076447713,2.0134511142340896,0.7286671368124118,0.8266891891891892,69.38000000000011,39.11680031791621,1063.0248,1.0674064480318746e+20,High
46.89,Female,127.97,1.65,198.01,156.66,59.92,0.78,686.4,35.0,3.51,2.0,1.0,47.0,3.01,-0.01,241.83,97.54,65.13,3256.0,Other,Breakfast,Keto,42.1,255.48,268.59,307.6,Grilled,18.91,52.01,1.67,Kettlebell Swings,5.0,16.05,Improves core rotation strength,379.1,Calves,Pull-up Bar,Beginner,Back,Posterior,Crunches,47.004591368227736,1943.65,0.4976821958685977,0.7622098929436587,0.7005576073575206,0.7911721630220696,2569.6,83.1805,591.3960000000001,1.6608527663555825e+20,Very High
43.12,Female,61.54,1.58,164.76,148.73,50.08,1.88,1955.2,25.54627199237792,2.69,4.98,3.0,24.65,4.01,2.02,341.29,136.37,91.36,1730.0,Other,Lunch,Balanced,31.09,445.45,178.05,471.81,Steamed,22.91,109.11,1.3,Bear Crawls,3.99,18.07,Targets lower abs,367.34,Lower Abs,Bench or Sturdy Surface,Advanced,Legs,Wrist Extensors,Decline dumbbell flyes,24.651498157346573,2732.88,0.4995316296361348,2.215957101072473,0.8602197418904778,0.9027069677106092,-225.20000000000005,45.81882421589064,1381.1983999999998,1.2838756901331658e+20,Very High
58.92,Female,65.25,1.52,160.72,161.85,61.07,1.41,1351.34,27.862389643741523,2.09,2.98,1.98,28.24,2.98,0.01,204.01,80.47,53.61,1727.0,Other,Snack,Vegan,13.31,870.94,269.36,497.63,Roasted,56.98,76.68,3.71,Scissors Kicks,3.98,16.89,Builds shoulder width,331.27,"Quadriceps, Hamstrings, Glutes",Low Bar or TRX,Beginner,Back,Triceps,Military press,28.241862880886423,1620.41,0.5036009405027122,1.233256704980843,1.0113396889111892,1.0070308611249377,375.6600000000001,47.069790757458655,934.1814,5.519270496462135e+19,Low
41.97,Female,98.2,1.91,192.72,135.86,72.87,1.02,979.2,26.041888980638056,2.79,3.02,2.0,26.92,3.02,-0.0,230.12,92.77,61.68,2710.0,Other,Snack,Vegan,0.5,880.15,42.07,231.63,Boiled,26.21,115.44,3.49,Scissors Kicks,3.99,21.0,Improves shoulder mobility and posture,341.1,"Core, Lower Back",Dumbbells,Intermediate,Chest,Lower Chest,Face pulls,26.918121762013104,1846.68,0.4984512747200382,0.9447046843177188,0.5255736337088027,0.7049605645496058,1730.8,72.62686502101343,695.844,7.008164605275952e+19,Medium
24.89,Female,81.57,1.61,169.68,158.84,63.14,1.93,2008.74,29.670715469009,3.5,3.98,3.01,31.47,3.98,0.05,196.2,78.39,51.89,2348.0,Other,Breakfast,Vegan,7.46,627.77,269.75,346.64,Raw,55.96,74.41,1.6,Dips,5.0,16.97,Builds back strength,346.26,"Chest, Triceps, Shoulders",Wall,Beginner,Chest,Grip Strength,Incline dumbbell flyes,31.4686933374484,1565.37,0.5013511182659691,0.9610150790731888,0.8982541768349915,0.936115040075436,339.26,57.36759739192935,1336.5636,7.922532824716683e+19,Medium
46.93,Female,88.81,1.6,186.06,125.94,60.01,1.85,1924.0,34.46993618328025,3.49,5.02,3.0,34.69,2.97,1.03,312.77,125.59,83.36,2565.0,Other,Snack,Keto,16.93,616.46,81.37,211.72,Fried,54.45,83.45,1.34,Decline Push-ups,5.0,15.9,Improves posture and strengthens upper back,345.23,"Triceps, Chest",Bench or Sturdy Surface,Intermediate,Forearms,Triceps,Hammer curl,34.69140624999999,2503.6800000000003,0.4996964468302657,1.414142551514469,0.5230464101547005,0.6768784263140922,641.0,58.19724967562881,1277.351,7.732078294298193e+19,Medium
36.52,Female,109.51,1.62,192.86,141.34,68.23,0.83,731.06,35.0,3.5,3.01,1.01,41.73,1.99,1.05,213.96,84.59,57.4,2933.0,Other,Lunch,Vegetarian,9.88,2272.96,103.91,347.48,Boiled,44.88,112.53,1.52,Plank,4.98,17.04,Improves core rotation strength,375.42,Lower Abs,"Bench, Barbell",Beginner,Legs,Lower,Concentration curls,41.72763298277701,1710.8000000000002,0.5002571896188918,0.7724408729796366,0.5866163844981144,0.7328632168412319,2201.94,71.1815,623.1972,1.5336272171948566e+20,Very High
20.89,Female,55.18,1.78,173.15,137.91,70.93,0.55,484.0,22.107564947570488,2.0,2.01,1.0,17.42,3.02,-0.02,205.5,81.67,54.63,1470.0,Other,Lunch,Vegan,48.51,2077.14,127.76,364.05,Baked,9.09,95.66,4.02,Calf Raises,4.01,16.89,Improves shoulder mobility and posture,339.95,"Back, Core, Shoulders",Box or Platform,Beginner,Forearms,Lateral,Donkey kicks,17.41573033707865,1640.35,0.5011125674398756,1.4800652410293584,0.6552533750733711,0.7964770430262778,986.0,42.9810456619306,373.945,6.817496851574016e+19,Medium
19.78,Female,71.66,1.58,167.09,167.01,53.86,1.06,1018.45,29.40269838572698,1.49,2.96,2.01,28.71,3.0,0.0,155.15,62.45,41.46,1978.0,Other,Breakfast,Vegetarian,1.09,239.65,136.05,308.52,Fried,30.37,116.9,3.46,Burpees,3.99,22.97,Improves unilateral leg strength and balance,352.65,"Core, Shoulders, Hips",Wall,Advanced,Arms,Lats,Decline dumbbell press,28.705335683384067,1243.54,0.4990591376232369,0.871476416410829,0.9992934734610968,0.9995212161110778,959.55,50.59002633678804,747.6179999999999,9.198842312309254e+19,High
34.08,Female,65.94,1.68,190.92,157.21,52.03,0.81,712.8,25.907211122270045,2.28,3.0,1.0,23.36,3.0,-0.0,167.68,67.4,44.74,1908.0,Other,Snack,Paleo,3.68,1831.71,12.85,103.78,Roasted,14.46,8.73,3.49,Mountain Climbers,3.99,23.04,Improves unilateral leg strength and balance,363.09,Core,Parallel Bars or Chair,Beginner,Shoulders,Posterior,Overhead triceps extensions,23.36309523809524,1342.98,0.499426648200271,1.0221413406126785,0.7572899416804667,0.8234338990152945,1195.2,48.85678498597513,588.2058,1.1674433274844049e+20,Very High
37.99,Female,71.66,1.77,197.25,141.91,72.14,1.11,977.69,21.913707373580007,3.1,2.01,1.01,22.87,2.99,0.01,212.16,84.79,56.29,1920.0,Other,Dinner,Balanced,18.8,1161.16,110.7,485.19,Boiled,53.41,11.78,3.74,Push Ups,3.0,15.05,Targets upper chest,335.04,"Core, Lower Back",Parallel Bars or Chair,Intermediate,Abs,Lateral,Wrist curl,22.87337610520604,1694.41,0.5008469024616239,1.1832263466368966,0.557669251059068,0.7194423320659062,942.31,55.956637296092566,743.7888000000002,6.053682648128729e+19,Low
19.61,Female,111.08,1.94,169.77,155.94,50.16,1.02,979.2,33.34316779313202,3.3,4.01,2.0,29.51,2.97,-0.03,220.69,87.71,58.06,3093.0,Other,Snack,Paleo,25.86,752.36,292.28,369.87,Roasted,19.81,26.85,2.76,Kettlebell Swings,3.99,15.04,Combines lower body and upper body strength,339.21,Shoulders,Dumbbells or Barbell,Intermediate,Shoulders,Middle,Russian twists,29.51429482410458,1756.14,0.5026706299042218,0.7896110911055095,0.8843742162026585,0.9185368439653648,2113.8,74.04240921538894,691.9884,6.697228426889986e+19,Medium
34.17,Female,54.29,1.52,189.88,131.44,60.08,1.13,993.5,22.159785365137225,2.17,3.0,1.0,23.5,2.98,0.01,222.73,88.19,58.7,1463.0,Other,Dinner,Low-Carb,31.61,617.3,187.2,323.42,Roasted,21.13,107.45,4.7,Leg Press,5.01,25.14,Builds explosive power,344.66,"Upper Back, Rear Deltoids",Cable Machine,Advanced,Back,Lats,Hammer curls,23.49809556786704,1771.98,0.5027821984446776,1.6244243875483515,0.549768875192604,0.6922266694754582,469.5,42.259452525266994,778.9316,7.628418656926196e+19,Medium
19.91,Female,72.71,1.73,198.88,159.87,68.01,1.26,1211.62,27.003930977753843,2.5,3.01,2.02,24.29,2.02,-0.03,195.21,77.12,51.52,1842.0,Other,Breakfast,Keto,46.07,1522.27,287.4,265.04,Fried,11.98,58.32,2.5,Push Ups,5.0,24.97,Advanced core exercise,333.39,"Upper Back, Rear Deltoids",Step or Box,Advanced,Forearms,Lats,Leg extensions,24.29416285208326,1553.0000000000002,0.502794591113973,1.0606519048273966,0.7019179338274624,0.8038515687851971,630.3800000000001,53.07544178607517,840.1428,5.8144458947189735e+19,Low
47.16,Female,45.24,1.93,166.03,158.87,65.17,1.29,1236.34,17.910655500019388,2.02,3.0,1.98,12.15,2.99,-0.01,285.03,114.45,76.68,1170.0,Other,Lunch,Vegetarian,0.4,693.8,92.13,202.34,Fried,48.78,81.71,4.47,Seated Rows,5.01,15.02,Strengthens back and legs,357.59,"Back, Biceps",Pull-up Bar,Intermediate,Forearms,Grip Strength,Barbell squats,12.145292491073588,2288.04,0.4982954843446792,2.529840848806366,0.9290105096172914,0.9568752635065952,-66.33999999999992,37.13721945179123,922.5822,1.0305855815595932e+20,High
37.15,Female,76.45,1.82,191.99,120.84,50.06,1.49,1429.21,23.907423927366043,2.8,4.0,1.99,23.08,2.98,-0.01,188.23,75.58,50.44,2042.0,Other,Snack,Low-Carb,3.37,2419.8,105.85,335.1,Grilled,39.79,61.81,2.41,Bear Crawls,4.02,19.0,Improves unilateral leg strength and balance,344.55,Quadriceps,Dumbbells or Barbell,Beginner,Forearms,Lower Chest,Concentration curls,23.07994203598599,1509.2,0.4988868274582559,0.9886200130804448,0.4986965405481575,0.6294077816552945,612.79,58.17277440752866,1026.759,7.608555225982971e+19,Medium
